codigo_procedimiento;consejeria;organo_gestor;descripcion;siaci;numero_expedientes
39;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Expedición Certificado Profesionalidad;SITX;65740
116;Consejeria de economia, empresas y empleo;Viceconsejeria de empleo, dialogo social y seguridad y salud laboral;Comunicaciones  apertura o reanudación actividades centros de trabajo.;SIJF;121087
117;Consejeria de economia, empresas y empleo;Direccion general de empleo;Carné Joven Europeo;SICD;27870
216;Consejeria de bienestar social;Direccion general de discapacidad;Tarjeta estacionamiento discapacidad;SD22;58069
390;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Inicio actividad vivienda uso turístico;DKT4;2464
420;Consejeria de economia, empresas y empleo;Viceconsejeria de empleo, dialogo social y seguridad y salud laboral;Habilitación electrónica libro subcontratación;SL0K;39313
547;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Autorización Excepcional Captura Especies Cinegéticas.;SK0V;16474
567;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Solicitud coto de caza;SA82;6192
577;Consejeria de economia, empresas y empleo;Direccion general de empresas;Subvención MICROEMPRESAS COVID-19 reactivación;SLD6;16746
654;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;Reclamación consumo;SLHV;12045
659;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Subvención AUTÓNOMOS COVID-19;SLIE;5091
877;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general agricultura y ganaderia;Solicitud Categorización Espacios;SLLZ;623
884;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Programas 4,5 autoconsumo;SLPT;25845
996;Consejeria de hacienda, administraciones publicas y transformacion digital;Direccion general de infraestructuras de las telecomunicaciones y ciberseguridad;Ayuda bonos digitales colectivos vulnerables;SLX7;1189
1033;Consejeria de bienestar social;Direccion general de mayores;Termalismo CLM 2023.;SH93;5444
1087;Consejeria de educacion, cultura y deportes;Direccion general de universidades, investigacion e innovacion;Residencias Universitarias 2023;SF00;2600
1111;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Certificados  eficiencia energética edificios 2024;SJM3;15831
1148;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;Autorización excepción utilización de maquinaria en montes;KM3F;4225
1150;Consejeria de educacion, cultura y deportes;Direccion general de juventud y deportes;Programa Verano Joven;SIDX;5050
